Player,Team,POS,FPTS,VORP,VORP_FLEX,VORP_SFLEX,Player First Name,Player Last Name,Player Team,ADP
Braxton Berrios,MIA,WR,7.800000000000001,-136.0,-103.5,-122.9,,,,300.0
Jalen Reagor,NE,WR,6.1000000000000005,-137.7,-105.2,-124.6,,,,300.0
Jalen Brooks,DAL,WR,5.7,-138.1,-105.6,-125.0,,,,300.0
Casey Washington,ATL,WR,5.6000000000000005,-138.2,-105.7,-125.1,,,,300.0
Charlie Jones,CIN,WR,5.6000000000000005,-138.2,-105.7,-125.1,,,,300.0
Dee Eskridge,SEA,WR,5.300000000000001,-138.5,-106.0,-125.4,,,,300.0
Deonte Harty,BAL,WR,5.2,-138.6,-106.1,-125.5,,,,300.0
Travis Kelce,KC,TE,149.3,35.4,38.0,18.6,Travis,Kelce,KC,27.7
Mark Andrews,BAL,TE,126.10000000000001,12.2,14.8,-4.6,Mark,Andrews,BAL,47.2
Sam LaPorta,DET,TE,130.7,16.8,19.4,0.0,Sam,LaPorta,DET,24.7
George Kittle,SF,TE,121.0,7.1,9.7,-9.7,George,Kittle,SF,62.2
David Njoku,CLE,TE,117.5,3.6,6.2,-13.2,David,Njoku,CLE,87.0
Kyle Pitts,ATL,TE,118.5,4.6,7.2,-12.2,Kyle,Pitts,ATL,59.9
Trey McBride,ARI,TE,128.3,14.4,17.0,-2.4,Trey,McBride,ARI,46.8
Jake Ferguson,DAL,TE,109.0,-4.9,-2.3,-21.7,Jake,Ferguson,DAL,89.4
Evan Engram,JAX,TE,126.60000000000001,12.7,15.3,-4.1,Evan,Engram,JAX,72.2
Dalton Kincaid,BUF,TE,114.8,0.9,3.5,-15.9,Dalton,Kincaid,BUF,52.7
TJ Hockenson,MIN,TE,113.9,0.0,2.6,-16.8,T.J.,Hockenson,MIN,107.4
Dallas Goedert,PHI,TE,104.10000000000001,-9.8,-7.2,-26.6,Dallas,Goedert,PHI,106.7
Cole Kmet,CHI,TE,95.6,-18.3,-15.7,-35.1,Cole,Kmet,CHI,125.4
Dalton Schultz,HOU,TE,89.6,-24.3,-21.7,-41.1,Dalton,Schultz,HOU,114.1
Brock Bowers,LV,TE,92.5,-21.4,-18.8,-38.2,Brock,Bowers,LV,78.2
Pat Freiermuth,PIT,TE,84.30000000000001,-29.6,-27.0,-46.4,Pat,Freiermuth,PIT,129.9
Hunter Henry,NE,TE,69.7,-44.2,-41.6,-61.0,Hunter,Henry,NE,167.6
Tyler Conklin,NYJ,TE,85.80000000000001,-28.1,-25.5,-44.9,Tyler,Conklin,NYJ,181.0
Juwan Johnson,NO,TE,71.5,-42.4,-39.8,-59.2,Juwan,Johnson,NO,206.7
Isaiah Likely,BAL,TE,60.5,-53.4,-50.8,-70.2,Isaiah,Likely,BAL,169.4
Cade Otton,TB,TE,71.7,-42.2,-39.6,-59.0,Cade,Otton,TB,153.5
Chigoziem Okonkwo,TEN,TE,76.7,-37.2,-34.6,-54.0,Chigoziem,Okonkwo,TEN,181.1
Luke Musgrave,GB,TE,71.5,-42.4,-39.8,-59.2,Luke,Musgrave,GB,136.2
Jonnu Smith,MIA,TE,65.2,-48.7,-46.1,-65.5,Jonnu,Smith,MIA,202.7
Hayden Hurst,LAC,TE,60.300000000000004,-53.6,-51.0,-70.4,Hayden,Hurst,LAC,274.8
Dawson Knox,BUF,TE,48.400000000000006,-65.5,-62.9,-82.3,Dawson,Knox,BUF,239.7
Ben Sinnott,WAS,TE,61.0,-52.9,-50.3,-69.7,Ben,Sinnott,WAS,153.9
Tyler Higbee,LAR,TE,65.0,-48.9,-46.3,-65.7,Tyler,Higbee,LAR,290.9
Mike Gesicki,CIN,TE,51.300000000000004,-62.6,-60.0,-79.4,Mike,Gesicki,CIN,218.8
Noah Fant,SEA,TE,64.9,-49.0,-46.4,-65.8,Noah,Fant,SEA,202.6
Tucker Kraft,GB,TE,56.1,-57.8,-55.2,-74.6,Tucker,Kraft,GB,212.9
Greg Dulcich,DEN,TE,56.6,-57.3,-54.7,-74.1,Greg,Dulcich,DEN,235.7
Michael Mayer,LV,TE,53.1,-60.8,-58.2,-77.6,Michael,Mayer,LV,216.8
Gerald Everett,CHI,TE,47.7,-66.2,-63.6,-83.0,Gerald,Everett,CHI,286.2
